hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14
1,2015,1,1,1,0.000000,84.843017,368.304709,186.889226,29.714605,43.789944,0.000000,0.000000,115.339585,35.188348,13.684358,23.849880,52.782522,58.256265
2,2015,1,1,2,0.000000,77.466103,336.281424,170.639618,27.130985,39.982505,0.000000,0.000000,105.311062,32.128798,12.494533,21.776186,48.193198,53.191011
3,2015,1,1,3,0.000000,72.378927,314.197925,159.433767,25.349302,37.356866,0.000000,0.000000,98.395316,30.018910,11.674021,20.346150,45.028365,49.697973
4,2015,1,1,4,0.000000,70.123217,304.405856,154.464967,24.559283,36.192628,0.000000,0.000000,95.328798,29.083362,11.310196,19.712056,43.625043,48.149122
5,2015,1,1,5,0.000000,69.818205,303.081792,153.793096,24.452459,36.035202,0.000000,0.000000,94.914149,28.956859,11.261001,19.626316,43.435289,47.939689
6,2015,1,1,6,0.000000,70.644220,306.667534,155.612613,24.741754,36.461533,0.000000,0.000000,96.037073,29.299446,11.394229,19.858513,43.949169,48.506861
7,2015,1,1,7,0.000000,73.683699,319.861955,162.307871,25.806272,38.030296,0.000000,0.000000,100.169084,30.560059,11.884468,20.712929,45.840089,50.593876
8,2015,1,1,8,0.000000,77.419056,336.077193,170.535985,27.114508,39.958222,0.000000,0.000000,105.247104,32.109286,12.486945,21.762960,48.163929,53.158707
9,2015,1,1,9,0.000000,82.006065,355.989461,180.640088,28.721018,42.325711,0.000000,0.000000,111.482899,34.011732,13.226785,23.052396,51.017598,56.308312
10,2015,1,1,10,0.000000,84.975970,368.881861,187.182091,29.761169,43.858565,0.000000,0.000000,115.520328,35.243490,13.705802,23.887254,52.865235,58.347555
11,2015,1,1,11,0.000000,85.999206,373.323743,189.436039,30.119538,44.386687,0.000000,0.000000,116.911363,35.667873,13.870840,24.174892,53.501810,59.050146
