hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14
1,2015,1,1,1,0.000000,84.843017,366.872589,186.889226,29.714605,39.493584,-1.074090,0.000000,115.339585,35.188348,13.684358,20.985640,52.782522,58.256265
2,2015,1,1,2,0.000000,77.466103,334.919424,170.639618,27.130985,35.896505,-1.021500,0.000000,105.311062,32.128798,12.494533,19.052186,48.193198,53.191011
3,2015,1,1,3,0.000000,72.378927,312.853765,159.433767,25.349302,33.324386,-1.008120,0.000000,98.395316,30.018910,11.674021,17.657830,45.028365,49.697973
4,2015,1,1,4,0.000000,70.123217,302.712456,154.464967,24.559283,31.112428,-1.270050,0.000000,95.328798,29.083362,11.310196,16.325256,43.625043,48.149122
5,2015,1,1,5,0.000000,69.818205,300.492192,153.793096,24.452459,28.266402,-1.942200,0.000000,94.914149,28.956859,11.261001,14.447116,43.435289,47.939689
6,2015,1,1,6,0.000000,70.644220,297.286934,155.612613,24.741754,8.319733,-7.035450,0.000000,92.737073,29.299446,11.394229,1.097313,43.949169,45.806861
7,2015,1,1,7,0.000000,73.683699,296.000755,162.307871,25.806272,-33.553304,-17.895900,0.000000,79.269084,30.560059,11.884468,-27.009471,45.840089,33.493876
8,2015,1,1,8,0.000000,77.419056,304.332433,170.535985,27.114508,-55.276058,-23.808570,0.000000,67.847104,32.109286,12.486945,-41.726560,48.163929,22.558707
9,2015,1,1,9,0.000000,82.006065,324.436261,180.640088,28.721018,-52.333889,-23.664900,0.000000,59.782899,34.011732,13.226785,-40.054004,51.017598,14.008312
10,2015,1,1,10,0.000000,84.975970,337.560261,187.182091,29.761169,-50.106235,-23.491200,0.000000,49.520328,35.243490,13.705802,-38.755946,52.865235,4.347555
11,2015,1,1,11,0.000000,85.999206,346.141023,189.436039,30.119538,-37.161473,-20.387040,0.000000,42.111363,35.667873,13.870840,-30.190548,53.501810,-2.149854
12,2015,1,1,12,0.000000,86.414303,356.411924,190.350400,30.264917,-11.540349,-14.035320,0.000000,37.175665,35.840033,13.937791,-13.135942,53.760050,-6.364833
13,2015,1,1,13,0.000000,87.193869,365.081750,192.067601,30.537945,4.719167,-10.071030,0.000000,37.135444,36.163356,14.063527,-2.345361,54.245034,-6.729555
14,2015,1,1,14,0.000000,88.294789,373.833139,194.492668,30.923521,17.204224,-7.091820,0.000000,41.932086,36.619958,14.241095,5.908674,54.929938,-3.273624
15,2015,1,1,15,0.000000,89.447765,381.813184,197.032404,31.327328,26.724188,-4.860600,0.000000,50.099496,37.098151,14.427059,12.182703,55.647227,2.918051
16,2015,1,1,16,0.000000,91.545169,391.956563,201.652491,32.061902,30.922279,-4.081710,0.000000,65.050805,37.968042,14.765350,14.849335,56.952063,14.258203
17,2015,1,1,17,0.000000,94.467502,404.470213,208.089705,33.085392,31.913860,-4.210890,0.000000,83.323563,39.180070,15.236694,15.326341,58.770105,27.964783
18,2015,1,1,18,0.000000,94.981641,407.031898,209.222233,33.265460,33.168623,-3.963540,0.000000,98.322508,39.393307,15.319620,16.130468,59.089961,40.017809
19,2015,1,1,19,0.000000,93.516252,400.957821,205.994324,32.752236,33.273892,-3.748140,0.000000,113.930388,38.785542,15.083266,16.292939,58.178313,53.411620
20,2015,1,1,20,0.000000,94.401467,406.557113,207.944245,33.062265,39.000458,-2.430720,0.000000,128.333792,39.152682,15.226043,20.054898,58.729023,64.819440
21,2015,1,1,21,0.000000,93.728177,404.417313,206.461146,32.826458,41.001833,-1.843500,0.000000,127.418490,38.873438,15.117448,21.431552,58.310156,64.357136
22,2015,1,1,22,0.000000,92.450400,399.062185,203.646504,32.378942,40.917496,-1.699710,0.000000,125.681420,38.343484,14.911355,21.455801,57.515226,63.479768
23,2015,1,1,23,0.000000,90.510142,390.236140,199.372572,31.699405,38.705992,-2.002230,0.000000,123.043742,37.538769,14.598410,20.103663,56.308153,62.147517
24,2015,1,1,24,0.000000,85.815104,371.151872,189.030505,30.055059,40.173627,-1.029510,0.000000,116.661086,35.591518,13.841146,21.377780,53.387277,58.923735
25,2015,1,2,1,0.000000,82.449472,336.025178,181.616809,28.876313,-23.112794,-16.416840,0.000000,112.085688,34.195634,13.298302,-20.601199,51.293450,56.612771
26,2015,1,2,2,0.000000,76.830658,316.003468,169.239882,26.908433,-12.903907,-13.139610,0.000000,104.447208,31.865250,12.392042,-13.441402,47.797875,52.754691
27,2015,1,2,3,0.000000,73.311867,304.894910,161.488814,25.676046,-2.220377,-10.014690,0.000000,99.663598,30.405844,11.824495,-6.097435,45.608765,50.338563
28,2015,1,2,4,0.000000,72.729104,305.511804,160.205122,25.471944,6.918882,-7.654680,0.000000,98.871362,30.164144,11.730501,0.032107,45.246217,49.938417
29,2015,1,2,5,0.000000,75.564449,319.348156,166.450721,26.464968,12.966526,-6.508620,0.000000,102.725863,31.340094,12.187814,3.885299,47.010141,51.885267
30,2015,1,2,6,0.000000,82.221050,346.462277,181.113650,28.796313,11.055351,-7.845330,0.000000,108.475161,34.100897,13.261460,2.191950,51.151345,53.755929
31,2015,1,2,7,0.000000,91.116337,383.026641,200.707877,31.911713,9.495867,-9.382980,0.000000,102.967832,37.790186,14.696183,0.592068,56.685279,45.463752
32,2015,1,2,8,0.000000,99.838792,426.094458,219.921395,34.966582,29.608339,-5.480340,0.000000,98.325547,41.407794,16.103031,13.451043,62.111691,37.952903
33,2015,1,2,9,0.000000,105.557374,453.174181,232.518087,36.969403,39.325705,-3.788880,0.000000,91.799656,43.779556,17.025383,19.569130,65.669334,30.179487
34,2015,1,2,10,0.000000,108.053550,464.098835,238.016576,37.843640,40.880214,-3.722340,0.000000,80.893075,44.814836,17.427992,20.448260,67.222255,20.193452
35,2015,1,2,11,0.000000,108.354060,462.522074,238.678529,37.948888,32.391476,-5.883300,0.000000,72.501603,44.939472,17.476461,14.770176,67.409208,13.199793
36,2015,1,2,12,0.000000,109.117183,459.768561,240.359510,38.216156,14.586626,-10.432980,0.000000,68.039028,45.255975,17.599546,2.852214,67.883962,9.223780
37,2015,1,2,13,0.000000,110.666449,463.489426,243.772178,38.758756,6.372687,-12.686370,0.000000,69.045173,45.898527,17.849427,-2.721318,68.847791,9.387562
38,2015,1,2,14,0.000000,112.106748,469.547704,246.944819,39.263193,6.533828,-12.831930,0.000000,74.303183,46.495886,18.081734,-2.704601,69.743830,13.076523
39,2015,1,2,15,0.000000,113.699329,475.845118,250.452899,39.820963,5.507804,-13.293930,0.000000,83.068212,47.156404,18.338601,-3.488918,70.734605,19.570046
40,2015,1,2,16,0.000000,115.929055,483.673070,255.364462,40.601881,1.104671,-14.682420,0.000000,98.199406,48.081175,18.698235,-6.564768,72.121762,31.001056
41,2015,1,2,17,0.000000,115.196985,481.172584,253.751884,40.345488,2.759148,-14.174340,0.000000,111.504196,47.777551,18.580159,-5.415677,71.666327,42.198391
42,2015,1,2,18,0.000000,109.499023,456.996814,241.200614,38.349888,1.495745,-13.754970,0.000000,118.058119,45.414341,17.661133,-5.899089,68.121512,49.985965
