hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,bus14
1,2015,1,1,1,0.000000,0.000000,1.432120,0.000000,0.000000,4.296360,1.074090,0.000000,0.000000,0.000000,0.000000,2.864240,0.000000,0.000000
2,2015,1,1,2,0.000000,0.000000,1.362000,0.000000,0.000000,4.086000,1.021500,0.000000,0.000000,0.000000,0.000000,2.724000,0.000000,0.000000
3,2015,1,1,3,0.000000,0.000000,1.344160,0.000000,0.000000,4.032480,1.008120,0.000000,0.000000,0.000000,0.000000,2.688320,0.000000,0.000000
4,2015,1,1,4,0.000000,0.000000,1.693400,0.000000,0.000000,5.080200,1.270050,0.000000,0.000000,0.000000,0.000000,3.386800,0.000000,0.000000
5,2015,1,1,5,0.000000,0.000000,2.589600,0.000000,0.000000,7.768800,1.942200,0.000000,0.000000,0.000000,0.000000,5.179200,0.000000,0.000000
6,2015,1,1,6,0.000000,0.000000,9.380600,0.000000,0.000000,28.141800,7.035450,0.000000,0.000000,0.000000,0.000000,18.761200,0.000000,0.000000
7,2015,1,1,7,0.000000,0.000000,23.861200,0.000000,0.000000,71.583600,17.895900,0.000000,0.000000,0.000000,0.000000,47.722400,0.000000,0.000000
8,2015,1,1,8,0.000000,0.000000,31.744760,0.000000,0.000000,95.234280,23.808570,0.000000,0.000000,0.000000,0.000000,63.489520,0.000000,0.000000
9,2015,1,1,9,0.000000,0.000000,31.553200,0.000000,0.000000,94.659600,23.664900,0.000000,0.000000,0.000000,0.000000,63.106400,0.000000,0.000000
10,2015,1,1,10,0.000000,0.000000,31.321600,0.000000,0.000000,93.964800,23.491200,0.000000,0.000000,0.000000,0.000000,62.643200,0.000000,0.000000
11,2015,1,1,11,0.000000,0.000000,27.182720,0.000000,0.000000,81.548160,20.387040,0.000000,0.000000,0.000000,0.000000,54.365440,0.000000,0.000000
12,2015,1,1,12,0.000000,0.000000,18.713760,0.000000,0.000000,56.141280,14.035320,0.000000,0.000000,0.000000,0.000000,37.427520,0.000000,0.000000
13,2015,1,1,13,0.000000,0.000000,13.428040,0.000000,0.000000,40.284120,10.071030,0.000000,0.000000,0.000000,0.000000,26.856080,0.000000,0.000000
14,2015,1,1,14,0.000000,0.000000,9.455760,0.000000,0.000000,28.367280,7.091820,0.000000,0.000000,0.000000,0.000000,18.911520,0.000000,0.000000
15,2015,1,1,15,0.000000,0.000000,6.480800,0.000000,0.000000,19.442400,4.860600,0.000000,0.000000,0.000000,0.000000,12.961600,0.000000,0.000000
16,2015,1,1,16,0.000000,0.000000,5.442280,0.000000,0.000000,16.326840,4.081710,0.000000,0.000000,0.000000,0.000000,10.884560,0.000000,0.000000
17,2015,1,1,17,0.000000,0.000000,5.614520,0.000000,0.000000,16.843560,4.210890,0.000000,0.000000,0.000000,0.000000,11.229040,0.000000,0.000000
18,2015,1,1,18,0.000000,0.000000,5.284720,0.000000,0.000000,15.854160,3.963540,0.000000,0.000000,0.000000,0.000000,10.569440,0.000000,0.000000
19,2015,1,1,19,0.000000,0.000000,4.997520,0.000000,0.000000,14.992560,3.748140,0.000000,0.000000,0.000000,0.000000,9.995040,0.000000,0.000000
20,2015,1,1,20,0.000000,0.000000,3.240960,0.000000,0.000000,9.722880,2.430720,0.000000,0.000000,0.000000,0.000000,6.481920,0.000000,0.000000
21,2015,1,1,21,0.000000,0.000000,2.458000,0.000000,0.000000,7.374000,1.843500,0.000000,0.000000,0.000000,0.000000,4.916000,0.000000,0.000000
22,2015,1,1,22,0.000000,0.000000,2.266280,0.000000,0.000000,6.798840,1.699710,0.000000,0.000000,0.000000,0.000000,4.532560,0.000000,0.000000
23,2015,1,1,23,0.000000,0.000000,2.669640,0.000000,0.000000,8.008920,2.002230,0.000000,0.000000,0.000000,0.000000,5.339280,0.000000,0.000000
24,2015,1,1,24,0.000000,0.000000,1.372680,0.000000,0.000000,4.118040,1.029510,0.000000,0.000000,0.000000,0.000000,2.745360,0.000000,0.000000
25,2015,1,2,1,0.000000,0.000000,21.889120,0.000000,0.000000,65.667360,16.416840,0.000000,0.000000,0.000000,0.000000,43.778240,0.000000,0.000000
26,2015,1,2,2,0.000000,0.000000,17.519480,0.000000,0.000000,52.558440,13.139610,0.000000,0.000000,0.000000,0.000000,35.038960,0.000000,0.000000
27,2015,1,2,3,0.000000,0.000000,13.352920,0.000000,0.000000,40.058760,10.014690,0.000000,0.000000,0.000000,0.000000,26.705840,0.000000,0.000000
