bus,type,base_kv,load_factor,zone,scaling_factor
1,3,230.0,0.0,0,0.0
2,2,230.0,0.0837837837837838,1,0.1563
3,2,230.0,0.3637065637065638,1,0.1563
4,1,230.0,0.1845559845559846,1,0.1563
5,1,230.0,0.02934362934362935,1,0.1563
6,2,230.0,0.04324324324324325,1,0.1563
7,1,230.0,0.0,0,0.0
8,2,230.0,0.0,0,0.0
9,1,230.0,0.11389961389961392,1,0.1563
10,1,230.0,0.034749034749034756,1,0.1563
11,1,230.0,0.013513513513513516,1,0.1563
12,1,230.0,0.023552123552123556,1,0.1563
13,1,230.0,0.05212355212355214,1,0.1563
14,1,230.0,0.05752895752895754,1,0.1563
