hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6
1,2015,1,1,1,0.000000,0.000000,0.000000,101.187821,101.187821,134.917095
2,2015,1,1,2,0.000000,0.000000,0.000000,104.509601,104.509601,139.346134
3,2015,1,1,3,0.000000,0.000000,0.000000,96.343212,96.343212,128.457616
4,2015,1,1,4,0.000000,0.000000,0.000000,92.041982,92.041982,122.722643
5,2015,1,1,5,0.000000,0.000000,0.000000,91.111415,91.111415,121.481887
6,2015,1,1,6,0.000000,0.000000,0.000000,91.098506,91.098506,121.464674
7,2015,1,1,7,0.000000,0.000000,0.000000,94.210667,94.210667,125.614223
8,2015,1,1,8,0.000000,0.000000,0.000000,96.123262,96.123262,128.164349
9,2015,1,1,9,0.000000,0.000000,0.000000,99.045818,99.045818,132.061090
10,2015,1,1,10,0.000000,0.000000,0.000000,100.613207,100.613207,134.150942
11,2015,1,1,11,0.000000,0.000000,0.000000,99.068034,99.068034,132.090712
12,2015,1,1,12,0.000000,0.000000,0.000000,97.373847,97.373847,129.831796
13,2015,1,1,13,0.000000,0.000000,0.000000,94.063616,94.063616,125.418154
14,2015,1,1,14,0.000000,0.000000,0.000000,91.939702,91.939702,122.586270
15,2015,1,1,15,0.000000,0.000000,0.000000,92.247164,92.247164,122.996219
16,2015,1,1,16,0.000000,0.000000,0.000000,95.358202,95.358202,127.144269
17,2015,1,1,17,0.000000,0.000000,0.000000,100.469129,100.469129,133.958839
18,2015,1,1,18,0.000000,0.000000,0.000000,102.141081,102.141081,136.188108
19,2015,1,1,19,0.000000,0.000000,0.000000,101.943276,101.943276,135.924368
20,2015,1,1,20,0.000000,0.000000,0.000000,101.933175,101.933175,135.910901
21,2015,1,1,21,0.000000,0.000000,0.000000,103.507208,103.507208,138.009611
22,2015,1,1,22,0.000000,0.000000,0.000000,98.836372,98.836372,131.781830
23,2015,1,1,23,0.000000,0.000000,0.000000,94.359624,94.359624,125.812832
24,2015,1,1,24,0.000000,0.000000,0.000000,97.435236,97.435236,129.913647
25,2015,1,2,1,0.000000,0.000000,0.000000,95.372268,95.372268,127.163025
26,2015,1,2,2,0.000000,0.000000,0.000000,98.879253,98.879253,131.839004
27,2015,1,2,3,0.000000,0.000000,0.000000,92.967308,92.967308,123.956411
28,2015,1,2,4,0.000000,0.000000,0.000000,91.188217,91.188217,121.584289
29,2015,1,2,5,0.000000,0.000000,0.000000,92.534201,92.534201,123.378934
30,2015,1,2,6,0.000000,0.000000,0.000000,99.582703,99.582703,132.776938
31,2015,1,2,7,0.000000,0.000000,0.000000,110.863791,110.863791,147.818388
32,2015,1,2,8,0.000000,0.000000,0.000000,117.929958,117.929958,157.239943
33,2015,1,2,9,0.000000,0.000000,0.000000,124.697442,124.697442,166.263256
34,2015,1,2,10,0.000000,0.000000,0.000000,129.597330,129.597330,172.796441
35,2015,1,2,11,0.000000,0.000000,0.000000,135.175373,135.175373,180.233831
36,2015,1,2,12,0.000000,0.000000,0.000000,139.161744,139.161744,185.548992
37,2015,1,2,13,0.000000,0.000000,0.000000,142.285578,142.285578,189.714103
38,2015,1,2,14,0.000000,0.000000,0.000000,142.963274,142.963274,190.617699
39,2015,1,2,15,0.000000,0.000000,0.000000,146.372453,146.372453,195.163271
40,2015,1,2,16,0.000000,0.000000,0.000000,152.858471,152.858471,203.811295
41,2015,1,2,17,0.000000,0.000000,0.000000,159.310093,159.310093,212.413457
42,2015,1,2,18,0.000000,0.000000,0.000000,158.370993,158.370993,211.161324
43,2015,1,2,19,0.000000,0.000000,0.000000,154.127984,154.127984,205.503979
44,2015,1,2,20,0.000000,0.000000,0.000000,147.270215,147.270215,196.360287
45,2015,1,2,21,0.000000,0.000000,0.000000,140.095754,140.095754,186.794339
46,2015,1,2,22,0.000000,0.000000,0.000000,127.016256,127.016256,169.355008
47,2015,1,2,23,0.000000,0.000000,0.000000,115.568509,115.568509,154.091345
48,2015,1,2,24,0.000000,0.000000,0.000000,113.318065,113.318065,151.090753
49,2015,1,3,1,0.000000,0.000000,0.000000,90.061877,90.061877,120.082503
50,2015,1,3,2,0.000000,0.000000,0.000000,92.141305,92.141305,122.855074
51,2015,1,3,3,0.000000,0.000000,0.000000,86.389066,86.389066,115.185422
52,2015,1,3,4,0.000000,0.000000,0.000000,81.269889,81.269889,108.359851
53,2015,1,3,5,0.000000,0.000000,0.000000,80.461902,80.461902,107.282536
54,2015,1,3,6,0.000000,0.000000,0.000000,82.657292,82.657292,110.209723
55,2015,1,3,7,0.000000,0.000000,0.000000,86.300192,86.300192,115.066923
56,2015,1,3,8,0.000000,0.000000,0.000000,88.957279,88.957279,118.609705
57,2015,1,3,9,0.000000,0.000000,0.000000,92.218241,92.218241,122.957655
58,2015,1,3,10,0.000000,0.000000,0.000000,92.738194,92.738194,123.650925
59,2015,1,3,11,0.000000,0.000000,0.000000,91.939725,91.939725,122.586301
60,2015,1,3,12,0.000000,0.000000,0.000000,89.749408,89.749408,119.665878
61,2015,1,3,13,0.000000,0.000000,0.000000,87.469177,87.469177,116.625570
62,2015,1,3,14,0.000000,0.000000,0.000000,85.434690,85.434690,113.912920
63,2015,1,3,15,0.000000,0.000000,0.000000,85.459585,85.459585,113.946113
64,2015,1,3,16,0.000000,0.000000,0.000000,88.041447,88.041447,117.388596
65,2015,1,3,17,0.000000,0.000000,0.000000,91.607342,91.607342,122.143123
66,2015,1,3,18,0.000000,0.000000,0.000000,93.795349,93.795349,125.060465
67,2015,1,3,19,0.000000,0.000000,0.000000,93.981147,93.981147,125.308196
68,2015,1,3,20,0.000000,0.000000,0.000000,95.483699,95.483699,127.311599
69,2015,1,3,21,0.000000,0.000000,0.000000,98.699256,98.699256,131.599007
70,2015,1,3,22,0.000000,0.000000,0.000000,95.611825,95.611825,127.482433
71,2015,1,3,23,0.000000,0.000000,0.000000,92.327878,92.327878,123.103838
72,2015,1,3,24,0.000000,0.000000,0.000000,94.459441,94.459441,125.945921
73,2015,1,4,1,0.000000,0.000000,0.000000,88.127477,88.127477,117.503302
74,2015,1,4,2,0.000000,0.000000,0.000000,91.737868,91.737868,122.317158
75,2015,1,4,3,0.000000,0.000000,0.000000,86.512774,86.512774,115.350365
76,2015,1,4,4,0.000000,0.000000,0.000000,81.620936,81.620936,108.827914
77,2015,1,4,5,0.000000,0.000000,0.000000,81.721333,81.721333,108.961778
78,2015,1,4,6,0.000000,0.000000,0.000000,82.898347,82.898347,110.531129
79,2015,1,4,7,0.000000,0.000000,0.000000,86.527220,86.527220,115.369626
80,2015,1,4,8,0.000000,0.000000,0.000000,87.623251,87.623251,116.831001
81,2015,1,4,9,0.000000,0.000000,0.000000,91.311965,91.311965,121.749287
82,2015,1,4,10,0.000000,0.000000,0.000000,93.611269,93.611269,124.815026
83,2015,1,4,11,0.000000,0.000000,0.000000,93.706500,93.706500,124.942000
84,2015,1,4,12,0.000000,0.000000,0.000000,90.701802,90.701802,120.935736
85,2015,1,4,13,0.000000,0.000000,0.000000,88.566451,88.566451,118.088601
86,2015,1,4,14,0.000000,0.000000,0.000000,87.133829,87.133829,116.178439
87,2015,1,4,15,0.000000,0.000000,0.000000,87.636853,87.636853,116.849138
88,2015,1,4,16,0.000000,0.000000,0.000000,90.292165,90.292165,120.389553
89,2015,1,4,17,0.000000,0.000000,0.000000,94.619411,94.619411,126.159215
90,2015,1,4,18,0.000000,0.000000,0.000000,98.069812,98.069812,130.759749
91,2015,1,4,19,0.000000,0.000000,0.000000,99.613311,99.613311,132.817749
92,2015,1,4,20,0.000000,0.000000,0.000000,101.071255,101.071255,134.761674
93,2015,1,4,21,0.000000,0.000000,0.000000,105.682773,105.682773,140.910364
94,2015,1,4,22,0.000000,0.000000,0.000000,102.225619,102.225619,136.300825
95,2015,1,4,23,0.000000,0.000000,0.000000,98.907537,98.907537,131.876716
96,2015,1,4,24,0.000000,0.000000,0.000000,101.339267,101.339267,135.119022
97,2015,1,5,1,0.000000,0.000000,0.000000,96.891247,96.891247,129.188330
98,2015,1,5,2,0.000000,0.000000,0.000000,102.105384,102.105384,136.140512
99,2015,1,5,3,0.000000,0.000000,0.000000,96.772817,96.772817,129.030422
100,2015,1,5,4,0.000000,0.000000,0.000000,93.625295,93.625295,124.833726
101,2015,1,5,5,0.000000,0.000000,0.000000,95.383028,95.383028,127.177371
102,2015,1,5,6,0.000000,0.000000,0.000000,100.621348,100.621348,134.161797
103,2015,1,5,7,0.000000,0.000000,0.000000,111.343455,111.343455,148.457941
104,2015,1,5,8,0.000000,0.000000,0.000000,115.858291,115.858291,154.477721
105,2015,1,5,9,0.000000,0.000000,0.000000,118.889421,118.889421,158.519228
106,2015,1,5,10,0.000000,0.000000,0.000000,117.577928,117.577928,156.770571
107,2015,1,5,11,0.000000,0.000000,0.000000,116.304008,116.304008,155.072011
108,2015,1,5,12,0.000000,0.000000,0.000000,113.870740,113.870740,151.827653
109,2015,1,5,13,0.000000,0.000000,0.000000,113.119400,113.119400,150.825867
110,2015,1,5,14,0.000000,0.000000,0.000000,113.187944,113.187944,150.917258
111,2015,1,5,15,0.000000,0.000000,0.000000,115.068317,115.068317,153.424423
112,2015,1,5,16,0.000000,0.000000,0.000000,119.731009,119.731009,159.641345
113,2015,1,5,17,0.000000,0.000000,0.000000,122.817802,122.817802,163.757070
114,2015,1,5,18,0.000000,0.000000,0.000000,120.339251,120.339251,160.452334
115,2015,1,5,19,0.000000,0.000000,0.000000,116.137475,116.137475,154.849967
116,2015,1,5,20,0.000000,0.000000,0.000000,112.289533,112.289533,149.719377
