hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6
1,2015,1,1,1,0.000000,0.000000,0.000000,88.243981,91.942221,134.917095
2,2015,1,1,2,0.000000,0.000000,0.000000,93.212861,96.440501,139.346134
3,2015,1,1,3,0.000000,0.000000,0.000000,82.422872,86.400112,128.457616
4,2015,1,1,4,0.000000,0.000000,0.000000,73.595372,78.865832,122.722643
5,2015,1,1,5,0.000000,0.000000,0.000000,71.749345,77.281365,121.481887
6,2015,1,1,6,0.000000,0.000000,0.000000,68.401286,74.886206,121.464674
7,2015,1,1,7,0.000000,0.000000,0.000000,73.038047,71.087367,122.114223
8,2015,1,1,8,0.000000,0.000000,0.000000,75.709162,57.541762,117.664349
9,2015,1,1,9,0.000000,0.000000,0.000000,86.122838,51.415118,115.261090
10,2015,1,1,10,0.000000,0.000000,0.000000,92.041847,43.290807,111.750942
11,2015,1,1,11,0.000000,0.000000,0.000000,89.162124,31.992384,105.840712
12,2015,1,1,12,0.000000,0.000000,0.000000,86.569277,23.256297,100.781796
13,2015,1,1,13,0.000000,0.000000,0.000000,77.881296,14.504816,95.668154
14,2015,1,1,14,0.000000,0.000000,0.000000,70.860952,10.483452,93.536270
15,2015,1,1,15,0.000000,0.000000,0.000000,67.762214,14.757914,96.746219
16,2015,1,1,16,0.000000,0.000000,0.000000,70.629302,27.294702,105.094269
17,2015,1,1,17,0.000000,0.000000,0.000000,81.941319,49.634979,117.508839
18,2015,1,1,18,0.000000,0.000000,0.000000,84.094661,66.050781,126.038108
19,2015,1,1,19,0.000000,0.000000,0.000000,78.997486,78.353426,132.774368
20,2015,1,1,20,0.000000,0.000000,0.000000,90.256685,93.592825,135.910901
21,2015,1,1,21,0.000000,0.000000,0.000000,95.848368,98.036608,138.009611
22,2015,1,1,22,0.000000,0.000000,0.000000,94.865902,96.000322,131.781830
23,2015,1,1,23,0.000000,0.000000,0.000000,91.027974,91.979874,125.812832
24,2015,1,1,24,0.000000,0.000000,0.000000,94.387646,95.258386,129.913647
25,2015,1,2,1,0.000000,0.000000,0.000000,82.766038,86.367818,127.163025
26,2015,1,2,2,0.000000,0.000000,0.000000,84.501323,88.609303,131.839004
27,2015,1,2,3,0.000000,0.000000,0.000000,76.644778,81.308358,123.956411
28,2015,1,2,4,0.000000,0.000000,0.000000,74.821447,79.497667,121.584289
29,2015,1,2,5,0.000000,0.000000,0.000000,76.586661,81.143101,123.378934
30,2015,1,2,6,0.000000,0.000000,0.000000,89.348493,92.272553,132.776938
31,2015,1,2,7,0.000000,0.000000,0.000000,104.189711,98.096591,144.318388
32,2015,1,2,8,0.000000,0.000000,0.000000,111.693028,89.475008,146.739943
33,2015,1,2,9,0.000000,0.000000,0.000000,119.665282,82.703042,149.463256
34,2015,1,2,10,0.000000,0.000000,0.000000,128.204050,77.402130,150.396441
35,2015,1,2,11,0.000000,0.000000,0.000000,134.170243,74.457423,153.983831
36,2015,1,2,12,0.000000,0.000000,0.000000,136.320514,70.732294,156.498992
37,2015,1,2,13,0.000000,0.000000,0.000000,138.519718,71.595678,159.964103
38,2015,1,2,14,0.000000,0.000000,0.000000,138.526814,73.394374,161.567699
39,2015,1,2,15,0.000000,0.000000,0.000000,143.969213,84.655853,168.913271
40,2015,1,2,16,0.000000,0.000000,0.000000,152.213281,101.997621,181.761295
41,2015,1,2,17,0.000000,0.000000,0.000000,159.310093,121.710093,195.963457
42,2015,1,2,18,0.000000,0.000000,0.000000,156.742513,134.007793,201.011324
43,2015,1,2,19,0.000000,0.000000,0.000000,149.380724,143.537084,202.353979
44,2015,1,2,20,0.000000,0.000000,0.000000,141.834715,143.387715,196.360287
45,2015,1,2,21,0.000000,0.000000,0.000000,124.198754,128.740754,186.794339
46,2015,1,2,22,0.000000,0.000000,0.000000,97.004666,105.579406,169.355008
47,2015,1,2,23,0.000000,0.000000,0.000000,69.749519,82.840659,154.091345
48,2015,1,2,24,0.000000,0.000000,0.000000,55.971405,72.356165,151.090753
49,2015,1,3,1,0.000000,0.000000,0.000000,24.449407,43.195827,120.082503
50,2015,1,3,2,0.000000,0.000000,0.000000,24.221145,43.626905,122.855074
51,2015,1,3,3,0.000000,0.000000,0.000000,17.508996,37.189016,115.185422
52,2015,1,3,4,0.000000,0.000000,0.000000,12.515609,32.159689,108.359851
53,2015,1,3,5,0.000000,0.000000,0.000000,11.438542,31.159502,107.282536
54,2015,1,3,6,0.000000,0.000000,0.000000,13.503242,33.261542,110.209723
55,2015,1,3,7,0.000000,0.000000,0.000000,16.754912,28.624992,111.566923
56,2015,1,3,8,0.000000,0.000000,0.000000,19.745199,15.520079,108.109705
57,2015,1,3,9,0.000000,0.000000,0.000000,26.937711,7.189291,106.157655
58,2015,1,3,10,0.000000,0.000000,0.000000,47.885764,9.500744,101.250925
59,2015,1,3,11,0.000000,0.000000,0.000000,58.119995,7.782775,96.336301
60,2015,1,3,12,0.000000,0.000000,0.000000,67.342758,7.344658,90.615878
61,2015,1,3,13,0.000000,0.000000,0.000000,76.608257,11.711377,86.875570
62,2015,1,3,14,0.000000,0.000000,0.000000,74.922440,11.525940,84.862920
63,2015,1,3,15,0.000000,0.000000,0.000000,66.957465,12.243785,87.696113
64,2015,1,3,16,0.000000,0.000000,0.000000,67.570857,23.019597,95.338596
65,2015,1,3,17,0.000000,0.000000,0.000000,75.844392,42.748092,105.693123
66,2015,1,3,18,0.000000,0.000000,0.000000,77.957009,59.282249,114.910465
67,2015,1,3,19,0.000000,0.000000,0.000000,78.494067,75.718947,122.158196
68,2015,1,3,20,0.000000,0.000000,0.000000,77.626349,82.728449,127.311599
69,2015,1,3,21,0.000000,0.000000,0.000000,75.491736,82.122456,131.599007
70,2015,1,3,22,0.000000,0.000000,0.000000,70.072325,77.369325,127.482433
71,2015,1,3,23,0.000000,0.000000,0.000000,56.921458,67.037578,123.103838
72,2015,1,3,24,0.000000,0.000000,0.000000,62.075761,71.328241,125.945921
73,2015,1,4,1,0.000000,0.000000,0.000000,54.254897,63.932777,117.503302
74,2015,1,4,2,0.000000,0.000000,0.000000,59.338578,68.595518,122.317158
75,2015,1,4,3,0.000000,0.000000,0.000000,56.962344,65.405324,115.350365
76,2015,1,4,4,0.000000,0.000000,0.000000,54.622566,62.336386,108.827914
77,2015,1,4,5,0.000000,0.000000,0.000000,57.680673,64.549433,108.961778
78,2015,1,4,6,0.000000,0.000000,0.000000,63.619647,69.127847,110.531129
79,2015,1,4,7,0.000000,0.000000,0.000000,70.106060,66.797820,111.869626
80,2015,1,4,8,0.000000,0.000000,0.000000,78.741091,57.278851,106.331001
81,2015,1,4,9,0.000000,0.000000,0.000000,86.581925,49.533365,104.949287
82,2015,1,4,10,0.000000,0.000000,0.000000,90.322669,40.062269,102.415026
83,2015,1,4,11,0.000000,0.000000,0.000000,93.280410,33.402150,98.692000
84,2015,1,4,12,0.000000,0.000000,0.000000,89.913252,23.738552,91.885736
85,2015,1,4,13,0.000000,0.000000,0.000000,87.051231,19.484151,88.338601
86,2015,1,4,14,0.000000,0.000000,0.000000,85.250059,19.388279,87.128439
87,2015,1,4,15,0.000000,0.000000,0.000000,84.875563,25.664503,90.599138
88,2015,1,4,16,0.000000,0.000000,0.000000,83.666665,35.159665,98.339553
89,2015,1,4,17,0.000000,0.000000,0.000000,87.216281,51.731461,109.709215
90,2015,1,4,18,0.000000,0.000000,0.000000,93.228542,71.411762,120.609749
91,2015,1,4,19,0.000000,0.000000,0.000000,95.124421,89.206961,129.667749
92,2015,1,4,20,0.000000,0.000000,0.000000,100.193175,100.444055,134.761674
93,2015,1,4,21,0.000000,0.000000,0.000000,104.896183,105.120923,140.910364
94,2015,1,4,22,0.000000,0.000000,0.000000,101.063339,101.395419,136.300825
95,2015,1,4,23,0.000000,0.000000,0.000000,98.907537,98.907537,131.876716
96,2015,1,4,24,0.000000,0.000000,0.000000,100.362557,100.641617,135.119022
97,2015,1,5,1,0.000000,0.000000,0.000000,93.655987,94.580347,129.188330
98,2015,1,5,2,0.000000,0.000000,0.000000,97.041164,98.488084,136.140512
99,2015,1,5,3,0.000000,0.000000,0.000000,85.778827,88.919967,129.030422
100,2015,1,5,4,0.000000,0.000000,0.000000,80.816205,84.475945,124.833726
101,2015,1,5,5,0.000000,0.000000,0.000000,78.717848,83.479328,127.177371
102,2015,1,5,6,0.000000,0.000000,0.000000,82.140508,87.420748,134.161797
103,2015,1,5,7,0.000000,0.000000,0.000000,93.184335,90.372655,144.957941
104,2015,1,5,8,0.000000,0.000000,0.000000,94.452221,76.568241,143.977721
105,2015,1,5,9,0.000000,0.000000,0.000000,104.539491,70.239471,141.719228
106,2015,1,5,10,0.000000,0.000000,0.000000,108.724188,60.053828,134.370571
107,2015,1,5,11,0.000000,0.000000,0.000000,108.187088,50.506208,128.822011
108,2015,1,5,12,0.000000,0.000000,0.000000,102.080850,39.049390,122.777653
109,2015,1,5,13,0.000000,0.000000,0.000000,96.442600,33.207400,121.075867
110,2015,1,5,14,0.000000,0.000000,0.000000,94.811054,33.661594,121.867258
111,2015,1,5,15,0.000000,0.000000,0.000000,95.991777,41.442217,127.174423
112,2015,1,5,16,0.000000,0.000000,0.000000,97.609819,53.530159,137.591345
113,2015,1,5,17,0.000000,0.000000,0.000000,105.330612,72.726952,147.307070
114,2015,1,5,18,0.000000,0.000000,0.000000,106.713471,87.406551,150.302334
115,2015,1,5,19,0.000000,0.000000,0.000000,111.521325,105.640225,151.699967
116,2015,1,5,20,0.000000,0.000000,0.000000,110.625563,111.100983,149.719377
117,2015,1,5,21,0.000000,0.000000,0.000000,109.448848,110.487228,150.777571
118,2015,1,5,22,0.000000,0.000000,0.000000,100.681821,102.330681,141.937108
119,2015,1,5,23,0.000000,0.000000,0.000000,88.777320,92.219100,134.431401
120,2015,1,5,24,0.000000,0.000000,0.000000,87.821877,92.287897,137.937262
121,2015,1,6,1,0.000000,0.000000,0.000000,76.231777,82.258497,129.767063
122,2015,1,6,2,0.000000,0.000000,0.000000,72.064331,80.327691,134.648122
123,2015,1,6,3,0.000000,0.000000,0.000000,52.969681,64.955721,126.561095
124,2015,1,6,4,0.000000,0.000000,0.000000,46.072749,59.194949,122.667265
125,2015,1,6,5,0.000000,0.000000,0.000000,44.688812,58.667492,124.818922
126,2015,1,6,6,0.000000,0.000000,0.000000,48.603239,62.792559,131.021145
127,2015,1,6,7,0.000000,0.000000,0.000000,71.098091,73.839231,141.422774
128,2015,1,6,8,0.000000,0.000000,0.000000,93.305404,75.464024,142.647432
129,2015,1,6,9,0.000000,0.000000,0.000000,110.389726,74.997486,144.422514
130,2015,1,6,10,0.000000,0.000000,0.000000,121.391315,70.676015,141.717019
131,2015,1,6,11,0.000000,0.000000,0.000000,123.417076,63.613096,139.220861
132,2015,1,6,12,0.000000,0.000000,0.000000,123.270142,57.042602,136.115003
133,2015,1,6,13,0.000000,0.000000,0.000000,121.541531,54.158871,135.186295
134,2015,1,6,14,0.000000,0.000000,0.000000,119.281981,54.149721,135.908761
135,2015,1,6,15,0.000000,0.000000,0.000000,121.548605,62.569225,140.577701
136,2015,1,6,16,0.000000,0.000000,0.000000,123.522223,74.274103,148.021737
137,2015,1,6,17,0.000000,0.000000,0.000000,124.223959,87.392439,152.768185
138,2015,1,6,18,0.000000,0.000000,0.000000,117.295694,94.811374,149.584099
139,2015,1,6,19,0.000000,0.000000,0.000000,109.186589,103.204789,148.117052
140,2015,1,6,20,0.000000,0.000000,0.000000,108.105600,108.377620,145.410227
141,2015,1,6,21,0.000000,0.000000,0.000000,106.912514,107.584214,145.684619
142,2015,1,6,22,0.000000,0.000000,0.000000,91.889555,95.151215,137.740487
143,2015,1,6,23,0.000000,0.000000,0.000000,83.764543,87.821943,130.620591
