hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6
1,2015,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,2015,1,1,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2015,1,1,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,2015,1,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,2015,1,1,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,2015,1,1,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,2015,1,1,7,0.000000,0.000000,0.000000,0.000000,8.000000,3.500000
8,2015,1,1,8,0.000000,0.000000,0.000000,0.000000,24.000000,10.500000
9,2015,1,1,9,0.000000,0.000000,0.000000,0.000000,38.400000,16.800000
10,2015,1,1,10,0.000000,0.000000,0.000000,0.000000,51.200000,22.400000
11,2015,1,1,11,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
12,2015,1,1,12,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
13,2015,1,1,13,0.000000,0.000000,0.000000,0.000000,68.000000,29.750000
14,2015,1,1,14,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
15,2015,1,1,15,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
16,2015,1,1,16,0.000000,0.000000,0.000000,0.000000,50.400000,22.050000
17,2015,1,1,17,0.000000,0.000000,0.000000,0.000000,37.600000,16.450000
18,2015,1,1,18,0.000000,0.000000,0.000000,0.000000,23.200000,10.150000
19,2015,1,1,19,0.000000,0.000000,0.000000,0.000000,7.200000,3.150000
20,2015,1,1,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21,2015,1,1,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
22,2015,1,1,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23,2015,1,1,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
24,2015,1,1,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25,2015,1,2,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,2015,1,2,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
27,2015,1,2,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,2015,1,2,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,2015,1,2,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,2015,1,2,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
31,2015,1,2,7,0.000000,0.000000,0.000000,0.000000,8.000000,3.500000
32,2015,1,2,8,0.000000,0.000000,0.000000,0.000000,24.000000,10.500000
33,2015,1,2,9,0.000000,0.000000,0.000000,0.000000,38.400000,16.800000
34,2015,1,2,10,0.000000,0.000000,0.000000,0.000000,51.200000,22.400000
35,2015,1,2,11,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
36,2015,1,2,12,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
37,2015,1,2,13,0.000000,0.000000,0.000000,0.000000,68.000000,29.750000
38,2015,1,2,14,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
39,2015,1,2,15,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
40,2015,1,2,16,0.000000,0.000000,0.000000,0.000000,50.400000,22.050000
41,2015,1,2,17,0.000000,0.000000,0.000000,0.000000,37.600000,16.450000
42,2015,1,2,18,0.000000,0.000000,0.000000,0.000000,23.200000,10.150000
43,2015,1,2,19,0.000000,0.000000,0.000000,0.000000,7.200000,3.150000
44,2015,1,2,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45,2015,1,2,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,2015,1,2,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,2015,1,2,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,2015,1,2,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,2015,1,3,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,2015,1,3,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,2015,1,3,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,2015,1,3,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,2015,1,3,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,2015,1,3,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,2015,1,3,7,0.000000,0.000000,0.000000,0.000000,8.000000,3.500000
56,2015,1,3,8,0.000000,0.000000,0.000000,0.000000,24.000000,10.500000
57,2015,1,3,9,0.000000,0.000000,0.000000,0.000000,38.400000,16.800000
58,2015,1,3,10,0.000000,0.000000,0.000000,0.000000,51.200000,22.400000
59,2015,1,3,11,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
60,2015,1,3,12,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
61,2015,1,3,13,0.000000,0.000000,0.000000,0.000000,68.000000,29.750000
62,2015,1,3,14,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
63,2015,1,3,15,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
64,2015,1,3,16,0.000000,0.000000,0.000000,0.000000,50.400000,22.050000
65,2015,1,3,17,0.000000,0.000000,0.000000,0.000000,37.600000,16.450000
66,2015,1,3,18,0.000000,0.000000,0.000000,0.000000,23.200000,10.150000
67,2015,1,3,19,0.000000,0.000000,0.000000,0.000000,7.200000,3.150000
68,2015,1,3,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69,2015,1,3,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,2015,1,3,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71,2015,1,3,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,2015,1,3,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,2015,1,4,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,2015,1,4,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
75,2015,1,4,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
76,2015,1,4,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
77,2015,1,4,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
78,2015,1,4,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
79,2015,1,4,7,0.000000,0.000000,0.000000,0.000000,8.000000,3.500000
80,2015,1,4,8,0.000000,0.000000,0.000000,0.000000,24.000000,10.500000
81,2015,1,4,9,0.000000,0.000000,0.000000,0.000000,38.400000,16.800000
82,2015,1,4,10,0.000000,0.000000,0.000000,0.000000,51.200000,22.400000
83,2015,1,4,11,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
84,2015,1,4,12,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
85,2015,1,4,13,0.000000,0.000000,0.000000,0.000000,68.000000,29.750000
86,2015,1,4,14,0.000000,0.000000,0.000000,0.000000,66.400000,29.050000
87,2015,1,4,15,0.000000,0.000000,0.000000,0.000000,60.000000,26.250000
88,2015,1,4,16,0.000000,0.000000,0.000000,0.000000,50.400000,22.050000
89,2015,1,4,17,0.000000,0.000000,0.000000,0.000000,37.600000,16.450000
90,2015,1,4,18,0.000000,0.000000,0.000000,0.000000,23.200000,10.150000
91,2015,1,4,19,0.000000,0.000000,0.000000,0.000000,7.200000,3.150000
92,2015,1,4,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93,2015,1,4,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94,2015,1,4,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95,2015,1,4,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96,2015,1,4,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97,2015,1,5,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98,2015,1,5,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
99,2015,1,5,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100,2015,1,5,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
101,2015,1,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
102,2015,1,5,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
