hour,year,month,day,hour_of_day,bus1,bus2,bus3,bus4,bus5,bus6
1,2015,1,1,1,0.000000,0.000000,0.000000,12.943840,9.245600,0.000000
2,2015,1,1,2,0.000000,0.000000,0.000000,11.296740,8.069100,0.000000
3,2015,1,1,3,0.000000,0.000000,0.000000,13.920340,9.943100,0.000000
4,2015,1,1,4,0.000000,0.000000,0.000000,18.446610,13.176150,0.000000
5,2015,1,1,5,0.000000,0.000000,0.000000,19.362070,13.830050,0.000000
6,2015,1,1,6,0.000000,0.000000,0.000000,22.697220,16.212300,0.000000
7,2015,1,1,7,0.000000,0.000000,0.000000,21.172620,15.123300,0.000000
8,2015,1,1,8,0.000000,0.000000,0.000000,20.414100,14.581500,0.000000
9,2015,1,1,9,0.000000,0.000000,0.000000,12.922980,9.230700,0.000000
10,2015,1,1,10,0.000000,0.000000,0.000000,8.571360,6.122400,0.000000
11,2015,1,1,11,0.000000,0.000000,0.000000,9.905910,7.075650,0.000000
12,2015,1,1,12,0.000000,0.000000,0.000000,10.804570,7.717550,0.000000
13,2015,1,1,13,0.000000,0.000000,0.000000,16.182320,11.558800,0.000000
14,2015,1,1,14,0.000000,0.000000,0.000000,21.078750,15.056250,0.000000
15,2015,1,1,15,0.000000,0.000000,0.000000,24.484950,17.489250,0.000000
16,2015,1,1,16,0.000000,0.000000,0.000000,24.728900,17.663500,0.000000
17,2015,1,1,17,0.000000,0.000000,0.000000,18.527810,13.234150,0.000000
18,2015,1,1,18,0.000000,0.000000,0.000000,18.046420,12.890300,0.000000
19,2015,1,1,19,0.000000,0.000000,0.000000,22.945790,16.389850,0.000000
20,2015,1,1,20,0.000000,0.000000,0.000000,11.676490,8.340350,0.000000
21,2015,1,1,21,0.000000,0.000000,0.000000,7.658840,5.470600,0.000000
22,2015,1,1,22,0.000000,0.000000,0.000000,3.970470,2.836050,0.000000
23,2015,1,1,23,0.000000,0.000000,0.000000,3.331650,2.379750,0.000000
24,2015,1,1,24,0.000000,0.000000,0.000000,3.047590,2.176850,0.000000
25,2015,1,2,1,0.000000,0.000000,0.000000,12.606230,9.004450,0.000000
26,2015,1,2,2,0.000000,0.000000,0.000000,14.377930,10.269950,0.000000
27,2015,1,2,3,0.000000,0.000000,0.000000,16.322530,11.658950,0.000000
28,2015,1,2,4,0.000000,0.000000,0.000000,16.366770,11.690550,0.000000
29,2015,1,2,5,0.000000,0.000000,0.000000,15.947540,11.391100,0.000000
30,2015,1,2,6,0.000000,0.000000,0.000000,10.234210,7.310150,0.000000
31,2015,1,2,7,0.000000,0.000000,0.000000,6.674080,4.767200,0.000000
32,2015,1,2,8,0.000000,0.000000,0.000000,6.236930,4.454950,0.000000
33,2015,1,2,9,0.000000,0.000000,0.000000,5.032160,3.594400,0.000000
34,2015,1,2,10,0.000000,0.000000,0.000000,1.393280,0.995200,0.000000
35,2015,1,2,11,0.000000,0.000000,0.000000,1.005130,0.717950,0.000000
36,2015,1,2,12,0.000000,0.000000,0.000000,2.841230,2.029450,0.000000
37,2015,1,2,13,0.000000,0.000000,0.000000,3.765860,2.689900,0.000000
38,2015,1,2,14,0.000000,0.000000,0.000000,4.436460,3.168900,0.000000
39,2015,1,2,15,0.000000,0.000000,0.000000,2.403240,1.716600,0.000000
40,2015,1,2,16,0.000000,0.000000,0.000000,0.645190,0.460850,0.000000
41,2015,1,2,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,2015,1,2,18,0.000000,0.000000,0.000000,1.628480,1.163200,0.000000
43,2015,1,2,19,0.000000,0.000000,0.000000,4.747260,3.390900,0.000000
44,2015,1,2,20,0.000000,0.000000,0.000000,5.435500,3.882500,0.000000
45,2015,1,2,21,0.000000,0.000000,0.000000,15.897000,11.355000,0.000000
46,2015,1,2,22,0.000000,0.000000,0.000000,30.011590,21.436850,0.000000
47,2015,1,2,23,0.000000,0.000000,0.000000,45.818990,32.727850,0.000000
48,2015,1,2,24,0.000000,0.000000,0.000000,57.346660,40.961900,0.000000
49,2015,1,3,1,0.000000,0.000000,0.000000,65.612470,46.866050,0.000000
50,2015,1,3,2,0.000000,0.000000,0.000000,67.920160,48.514400,0.000000
51,2015,1,3,3,0.000000,0.000000,0.000000,68.880070,49.200050,0.000000
52,2015,1,3,4,0.000000,0.000000,0.000000,68.754280,49.110200,0.000000
53,2015,1,3,5,0.000000,0.000000,0.000000,69.023360,49.302400,0.000000
54,2015,1,3,6,0.000000,0.000000,0.000000,69.154050,49.395750,0.000000
55,2015,1,3,7,0.000000,0.000000,0.000000,69.545280,49.675200,0.000000
56,2015,1,3,8,0.000000,0.000000,0.000000,69.212080,49.437200,0.000000
57,2015,1,3,9,0.000000,0.000000,0.000000,65.280530,46.628950,0.000000
58,2015,1,3,10,0.000000,0.000000,0.000000,44.852430,32.037450,0.000000
59,2015,1,3,11,0.000000,0.000000,0.000000,33.819730,24.156950,0.000000
60,2015,1,3,12,0.000000,0.000000,0.000000,22.406650,16.004750,0.000000
61,2015,1,3,13,0.000000,0.000000,0.000000,10.860920,7.757800,0.000000
62,2015,1,3,14,0.000000,0.000000,0.000000,10.512250,7.508750,0.000000
63,2015,1,3,15,0.000000,0.000000,0.000000,18.502120,13.215800,0.000000
64,2015,1,3,16,0.000000,0.000000,0.000000,20.470590,14.621850,0.000000
65,2015,1,3,17,0.000000,0.000000,0.000000,15.762950,11.259250,0.000000
66,2015,1,3,18,0.000000,0.000000,0.000000,15.838340,11.313100,0.000000
67,2015,1,3,19,0.000000,0.000000,0.000000,15.487080,11.062200,0.000000
68,2015,1,3,20,0.000000,0.000000,0.000000,17.857350,12.755250,0.000000
69,2015,1,3,21,0.000000,0.000000,0.000000,23.207520,16.576800,0.000000
70,2015,1,3,22,0.000000,0.000000,0.000000,25.539500,18.242500,0.000000
71,2015,1,3,23,0.000000,0.000000,0.000000,35.406420,25.290300,0.000000
72,2015,1,3,24,0.000000,0.000000,0.000000,32.383680,23.131200,0.000000
73,2015,1,4,1,0.000000,0.000000,0.000000,33.872580,24.194700,0.000000
74,2015,1,4,2,0.000000,0.000000,0.000000,32.399290,23.142350,0.000000
75,2015,1,4,3,0.000000,0.000000,0.000000,29.550430,21.107450,0.000000
76,2015,1,4,4,0.000000,0.000000,0.000000,26.998370,19.284550,0.000000
77,2015,1,4,5,0.000000,0.000000,0.000000,24.040660,17.171900,0.000000
78,2015,1,4,6,0.000000,0.000000,0.000000,19.278700,13.770500,0.000000
79,2015,1,4,7,0.000000,0.000000,0.000000,16.421160,11.729400,0.000000
80,2015,1,4,8,0.000000,0.000000,0.000000,8.882160,6.344400,0.000000
81,2015,1,4,9,0.000000,0.000000,0.000000,4.730040,3.378600,0.000000
82,2015,1,4,10,0.000000,0.000000,0.000000,3.288600,2.349000,0.000000
83,2015,1,4,11,0.000000,0.000000,0.000000,0.426090,0.304350,0.000000
84,2015,1,4,12,0.000000,0.000000,0.000000,0.788550,0.563250,0.000000
